block_id	drug_row	drug_col	css_ri	synergy_zip	synergy_bliss	synergy_loewe	synergy_hsa	S	cell_line_name	cellosaurus_accession
16169	5-FU	ERLOTINIB	61.4	1.97	2.72	6.45	8.82	26.54	EFM192B	CVCL_1813
16170	5-FU	ERLOTINIB	62.16	-1.71	-0.51	3.22	5.6	27.29	EFM192B	CVCL_1813
16171	5-FU	ERLOTINIB	63.4	1.07	3.64	7.37	9.75	28.54	EFM192B	CVCL_1813
16172	5-FU	ERLOTINIB	66.33	-0.42	6.54	10.27	12.65	31.46	EFM192B	CVCL_1813
16173	5-FU	GELDANAMYCIN	48.13	-6.19	-4.68	0.1	2.58	-8.02	EFM192B	CVCL_1813
16174	5-FU	GELDANAMYCIN	48.21	-3.76	-5.03	-0.25	2.23	-7.95	EFM192B	CVCL_1813
16175	5-FU	GELDANAMYCIN	49.9	-1.2	-1.81	2.96	5.45	-6.26	EFM192B	CVCL_1813
16176	5-FU	GELDANAMYCIN	45.4	-7.19	-5.68	-0.91	1.58	-10.76	EFM192B	CVCL_1813
16177	5-FU	L778123	36.18	-7.48	-3.67	2.96	6.05	-3.95	EFM192B	CVCL_1813
16178	5-FU	L778123	39.82	-7.27	-4.56	2.06	5.16	-0.32	EFM192B	CVCL_1813
16179	5-FU	L778123	39.04	-3.71	-0.21	6.42	9.51	-1.09	EFM192B	CVCL_1813
16180	5-FU	L778123	34.93	-10.72	-4.69	1.94	5.03	-5.2	EFM192B	CVCL_1813
16181	5-FU	LAPATINIB	52.01	-5.69	-4.19	3.17	4.94	-17.93	EFM192B	CVCL_1813
16182	5-FU	LAPATINIB	48.1	-7.14	-7.01	0.34	2.12	-21.84	EFM192B	CVCL_1813
16183	5-FU	LAPATINIB	51.98	-5.73	-4.98	2.38	4.15	-17.96	EFM192B	CVCL_1813
16184	5-FU	LAPATINIB	54.92	-2.34	-2.93	4.43	6.2	-15.02	EFM192B	CVCL_1813
16185	5-FU	MK-2206	54.14	-6.17	-5.48	-1.13	1.18	-24.46	EFM192B	CVCL_1813
16186	5-FU	MK-2206	56.75	-3.47	-5.03	-0.68	1.62	-21.84	EFM192B	CVCL_1813
16187	5-FU	MK-2206	58.48	-4.15	-3.07	1.28	3.59	-20.11	EFM192B	CVCL_1813
16188	5-FU	MK-2206	62.93	0.8	1.21	5.57	7.87	-15.66	EFM192B	CVCL_1813
16189	5-FU	MK-4827	32.73	-3.43	-1.15	2.89	3.68	7.62	EFM192B	CVCL_1813
16190	5-FU	MK-4827	27.67	-10.65	-3.86	0.19	0.97	2.57	EFM192B	CVCL_1813
16191	5-FU	MK-4827	40.16	-4.35	-5.1	-1.06	-0.27	15.06	EFM192B	CVCL_1813
16192	5-FU	MK-4827	31.93	-6.28	-2.7	1.34	2.13	6.82	EFM192B	CVCL_1813
16193	5-FU	MK-5108	39.19	-3.43	-0.32	3.02	5.87	6.53	EFM192B	CVCL_1813
16194	5-FU	MK-5108	37.77	-8.65	-4.04	-0.69	2.15	5.11	EFM192B	CVCL_1813
16195	5-FU	MK-5108	37.12	-1.11	-1.82	1.52	4.36	4.46	EFM192B	CVCL_1813
16196	5-FU	MK-5108	41.3	3.32	3.79	7.13	9.97	8.64	EFM192B	CVCL_1813
16197	5-FU	MK-8669	35.77	-5.28	-3.37	2.81	5.03	-8.73	EFM192B	CVCL_1813
16198	5-FU	MK-8669	51.03	-0.03	-0.41	5.77	7.99	6.53	EFM192B	CVCL_1813
16199	5-FU	MK-8669	46.28	-3.35	-2.32	3.86	6.08	1.79	EFM192B	CVCL_1813
16200	5-FU	MK-8669	45.71	-2.53	3.1	9.28	11.5	1.21	EFM192B	CVCL_1813
16201	5-FU	MK-8776	38.21	-5.81	-6.52	-1.53	1.15	-16.97	EFM192B	CVCL_1813
16202	5-FU	MK-8776	39.14	-4.26	-4.44	0.55	3.23	-16.04	EFM192B	CVCL_1813
16203	5-FU	MK-8776	43.03	-4.03	-4.18	0.8	3.49	-12.14	EFM192B	CVCL_1813
16204	5-FU	MK-8776	40.48	-5.52	-6.4	-1.41	1.27	-14.7	EFM192B	CVCL_1813
16205	5-FU	PD325901	23.01	-8.4	-5.49	-5.37	-5.2	4.21	EFM192B	CVCL_1813
16206	5-FU	PD325901	30.53	2	1.58	1.7	1.87	11.73	EFM192B	CVCL_1813
16207	5-FU	PD325901	29.11	3.59	4.42	4.54	4.71	10.31	EFM192B	CVCL_1813
16208	5-FU	PD325901	27.21	-0.04	2.2	2.32	2.49	8.41	EFM192B	CVCL_1813
16209	5-FU	SORAFENIB	37.4	-6.89	-5.05	-5.54	-0.95	-8.85	EFM192B	CVCL_1813
16210	5-FU	SORAFENIB	38.15	-7.38	-4.78	-5.26	-0.68	-8.09	EFM192B	CVCL_1813
16211	5-FU	SORAFENIB	39.94	-6.94	-5.42	-5.9	-1.31	-6.31	EFM192B	CVCL_1813
16212	5-FU	SORAFENIB	36.24	-4	-4.91	-5.39	-0.81	-10	EFM192B	CVCL_1813
16213	5-FU	SUNITINIB	27.34	-4.03	-2.39	-5.57	-0.01	6.55	EFM192B	CVCL_1813
16214	5-FU	SUNITINIB	29.94	3.58	5.64	2.46	8.02	9.15	EFM192B	CVCL_1813
16215	5-FU	SUNITINIB	34.28	-7.4	-1.06	-4.24	1.32	13.49	EFM192B	CVCL_1813
16216	5-FU	SUNITINIB	38.96	5.51	5.47	2.29	7.85	18.17	EFM192B	CVCL_1813
16217	5-FU	TEMOZOLOMIDE	12.62	-7.82	-7.47	-42.58	-13.23	0.78	EFM192B	CVCL_1813
16218	5-FU	TEMOZOLOMIDE	24.36	-2.59	-1.38	-36.5	-7.15	12.52	EFM192B	CVCL_1813
16219	5-FU	TEMOZOLOMIDE	14.79	-0.23	1.24	-33.87	-4.52	2.95	EFM192B	CVCL_1813
16220	5-FU	TEMOZOLOMIDE	24.49	-2.05	-1.75	-36.86	-7.51	12.66	EFM192B	CVCL_1813
16221	5-FU	ZOLINZA	72.07	-1.34	-1.8	0.74	3.48	33.42	EFM192B	CVCL_1813
16222	5-FU	ZOLINZA	67.63	-1.27	-0.47	2.07	4.81	28.97	EFM192B	CVCL_1813
16223	5-FU	ZOLINZA	64.15	-8.1	-4.35	-1.81	0.94	25.49	EFM192B	CVCL_1813
16224	5-FU	ZOLINZA	72.28	0.92	5.24	7.77	10.52	33.62	EFM192B	CVCL_1813
16225	ABT-888	BEZ-235	55.93	6.61	5.88	-38.06	4.97	11.76	EFM192B	CVCL_1813
16226	ABT-888	BEZ-235	59.21	5.66	3.47	-40.47	2.56	15.04	EFM192B	CVCL_1813
16227	ABT-888	BEZ-235	61.7	11.17	12.06	-31.88	11.16	17.53	EFM192B	CVCL_1813
16228	ABT-888	BEZ-235	61.46	11.83	13.51	-30.43	12.61	17.29	EFM192B	CVCL_1813
16229	ABT-888	DINACICLIB	51.37	2.03	2.63	-60.53	1.6	19.35	EFM192B	CVCL_1813
16230	ABT-888	DINACICLIB	51.93	2.9	4.98	-58.18	3.95	19.91	EFM192B	CVCL_1813
16231	ABT-888	DINACICLIB	51.6	1.82	1.67	-61.49	0.64	19.59	EFM192B	CVCL_1813
16232	ABT-888	DINACICLIB	54.73	4.57	6.6	-56.56	5.57	22.72	EFM192B	CVCL_1813
16233	ABT-888	GELDANAMYCIN	37.01	2.2	-0.64	-24.81	-1.72	1.61	EFM192B	CVCL_1813
16234	ABT-888	GELDANAMYCIN	47.64	7.86	6.83	-17.35	5.75	12.24	EFM192B	CVCL_1813
16235	ABT-888	GELDANAMYCIN	44.83	7.14	9.66	-14.51	8.58	9.43	EFM192B	CVCL_1813
16236	ABT-888	GELDANAMYCIN	44.84	8.15	9.52	-14.65	8.44	9.44	EFM192B	CVCL_1813
16237	ABT-888	MK-8669	24.49	8.25	7.52	-16.4	6.28	0.75	EFM192B	CVCL_1813
16238	ABT-888	MK-8669	23.9	2.25	3.12	-20.81	1.88	0.16	EFM192B	CVCL_1813
16239	ABT-888	MK-8669	26.58	7.07	5.87	-18.05	4.63	2.84	EFM192B	CVCL_1813
16240	ABT-888	MK-8669	27.33	6.03	6.32	-17.6	5.08	3.59	EFM192B	CVCL_1813
16241	ABT-888	MK-8776	26.02	-0.51	-2.29	-19.88	-3.44	-8.4	EFM192B	CVCL_1813
16242	ABT-888	MK-8776	28.77	-0.81	-2.85	-20.44	-4	-5.65	EFM192B	CVCL_1813
16243	ABT-888	MK-8776	27.2	-0.36	-2.25	-19.84	-3.4	-7.22	EFM192B	CVCL_1813
16244	ABT-888	MK-8776	28.03	1.17	-1.57	-19.16	-2.72	-6.39	EFM192B	CVCL_1813
16245	ABT-888	OXALIPLATIN	43.94	1.91	1.56	-16.42	0.58	5.23	EFM192B	CVCL_1813
16246	ABT-888	OXALIPLATIN	40.59	1.45	0.74	-17.24	-0.24	1.87	EFM192B	CVCL_1813
16247	ABT-888	OXALIPLATIN	43.24	3.28	2.32	-15.67	1.34	4.53	EFM192B	CVCL_1813
16248	ABT-888	OXALIPLATIN	46.79	2.3	2.62	-15.36	1.64	8.08	EFM192B	CVCL_1813
16249	ABT-888	SN-38	44.96	6.11	7.61	-75.7	6.25	33.14	EFM192B	CVCL_1813
16250	ABT-888	SN-38	43.53	5.21	7.8	-75.51	6.44	31.71	EFM192B	CVCL_1813
16251	ABT-888	SN-38	46.96	6.62	11.22	-72.09	9.85	35.14	EFM192B	CVCL_1813
16252	ABT-888	SN-38	44.34	6.66	10.3	-73.01	8.94	32.52	EFM192B	CVCL_1813
16253	ABT-888	SORAFENIB	30.38	4.03	4.32	-7.5	3	4.9	EFM192B	CVCL_1813
16254	ABT-888	SORAFENIB	31.83	6.87	7.99	-3.83	6.68	6.35	EFM192B	CVCL_1813
16255	ABT-888	SORAFENIB	33.64	1.71	3.44	-8.38	2.12	8.16	EFM192B	CVCL_1813
16256	ABT-888	SORAFENIB	42.51	11.96	13.19	1.37	11.88	17.02	EFM192B	CVCL_1813
16257	ABT-888	TOPOTECAN	37	-0.66	-4.2	-39.65	-5.02	-14.78	EFM192B	CVCL_1813
16258	ABT-888	TOPOTECAN	31.1	-1.52	-6.8	-42.24	-7.61	-20.68	EFM192B	CVCL_1813
16259	ABT-888	TOPOTECAN	44.4	0.48	-2.66	-38.11	-3.48	-7.37	EFM192B	CVCL_1813
16260	ABT-888	TOPOTECAN	47.13	2.47	1.82	-33.62	1.01	-4.64	EFM192B	CVCL_1813
16261	AZD1775	ABT-888	39.84	2.76	2.37	-51.88	1.05	22.82	EFM192B	CVCL_1813
16262	AZD1775	ABT-888	32.18	1.42	-2.51	-56.76	-3.83	15.16	EFM192B	CVCL_1813
16263	AZD1775	ABT-888	35.91	0.88	1.87	-52.37	0.55	18.89	EFM192B	CVCL_1813
16264	AZD1775	ABT-888	29.9	-2.5	-3.64	-57.89	-4.96	12.88	EFM192B	CVCL_1813
16265	AZD1775	BEZ-235	68.67	5.85	5.55	6.94	11.27	4.16	EFM192B	CVCL_1813
16266	AZD1775	BEZ-235	74.94	9.46	9.46	10.85	15.18	10.43	EFM192B	CVCL_1813
16267	AZD1775	BEZ-235	72.96	7.34	7.65	9.04	13.37	8.44	EFM192B	CVCL_1813
16268	AZD1775	BEZ-235	71.18	6.02	5.13	6.52	10.85	6.66	EFM192B	CVCL_1813
16269	AZD1775	BORTEZOMIB	46.73	-1.19	-4.41	-5.35	-1.12	-5.81	EFM192B	CVCL_1813
16270	AZD1775	BORTEZOMIB	48.54	-6.07	-3.6	-4.54	-0.31	-4	EFM192B	CVCL_1813
16271	AZD1775	BORTEZOMIB	57.3	0.98	0.8	-0.14	4.08	4.76	EFM192B	CVCL_1813
16272	AZD1775	BORTEZOMIB	59.04	2.72	2.05	1.11	5.34	6.5	EFM192B	CVCL_1813
16273	AZD1775	DASATINIB	40.47	3.4	2.78	-2.1	9.61	9.35	EFM192B	CVCL_1813
16274	AZD1775	DASATINIB	43.36	6.04	7.95	3.07	14.79	12.24	EFM192B	CVCL_1813
16275	AZD1775	DASATINIB	41.27	0.67	3.23	-1.65	10.06	10.15	EFM192B	CVCL_1813
16276	AZD1775	DASATINIB	41.08	-1.8	2.28	-2.61	9.11	9.96	EFM192B	CVCL_1813
16277	AZD1775	DINACICLIB	67.87	-1.89	-0.96	-3.47	2.8	15.51	EFM192B	CVCL_1813
16278	AZD1775	DINACICLIB	65.81	-0.91	-0.65	-3.15	3.11	13.45	EFM192B	CVCL_1813
16279	AZD1775	DINACICLIB	73.32	0.73	-1.75	-4.25	2.01	20.96	EFM192B	CVCL_1813
16280	AZD1775	DINACICLIB	66.29	-1.73	-0.04	-2.55	3.71	13.94	EFM192B	CVCL_1813
16281	AZD1775	ERLOTINIB	62.16	-2.01	-1.62	-0.87	3.97	27.71	EFM192B	CVCL_1813
16282	AZD1775	ERLOTINIB	65.97	-1.28	-3.09	-2.34	2.5	31.52	EFM192B	CVCL_1813
16283	AZD1775	ERLOTINIB	63.78	5.15	5.37	6.12	10.96	29.33	EFM192B	CVCL_1813
16284	AZD1775	ERLOTINIB	62.3	3	4.59	5.34	10.18	27.84	EFM192B	CVCL_1813
16285	AZD1775	GELDANAMYCIN	51.55	-1.21	-1.49	1.65	5.41	-4.19	EFM192B	CVCL_1813
16286	AZD1775	GELDANAMYCIN	56.84	-2	-1.8	1.35	5.11	1.09	EFM192B	CVCL_1813
16287	AZD1775	GELDANAMYCIN	57.4	1.39	-0.35	2.8	6.56	1.66	EFM192B	CVCL_1813
16288	AZD1775	GELDANAMYCIN	60.49	1.55	0.82	3.96	7.73	4.74	EFM192B	CVCL_1813
16289	AZD1775	LAPATINIB	69.32	6.13	6.33	11.69	15.06	-0.21	EFM192B	CVCL_1813
16290	AZD1775	LAPATINIB	63.78	3.07	2.34	7.7	11.07	-5.75	EFM192B	CVCL_1813
16291	AZD1775	LAPATINIB	64.38	4.2	4.11	9.47	12.84	-5.15	EFM192B	CVCL_1813
16292	AZD1775	LAPATINIB	66.73	6.3	6.32	11.68	15.05	-2.79	EFM192B	CVCL_1813
16293	AZD1775	MK-2206	67.28	-0.02	0.56	2.84	6.85	-10.9	EFM192B	CVCL_1813
16294	AZD1775	MK-2206	68.79	2.45	2.69	4.97	8.98	-9.38	EFM192B	CVCL_1813
16295	AZD1775	MK-2206	65.76	0.6	0.52	2.8	6.81	-12.42	EFM192B	CVCL_1813
16296	AZD1775	MK-2206	69.55	3.2	3.53	5.81	9.83	-8.63	EFM192B	CVCL_1813
16297	AZD1775	MK-4827	45	-3.87	-0.37	2.71	3.99	20.31	EFM192B	CVCL_1813
16298	AZD1775	MK-4827	49.82	1.14	2.83	5.91	7.18	25.13	EFM192B	CVCL_1813
16299	AZD1775	MK-4827	44.98	-5.16	-0.3	2.79	4.06	20.29	EFM192B	CVCL_1813
16300	AZD1775	MK-4827	55.43	11.48	13.98	17.07	18.34	30.74	EFM192B	CVCL_1813
16301	AZD1775	MK-5108	52.72	0.24	2.18	-0.17	7.66	20.47	EFM192B	CVCL_1813
16302	AZD1775	MK-5108	51.9	-0.89	-1.77	-4.12	3.7	19.65	EFM192B	CVCL_1813
16303	AZD1775	MK-5108	51.62	2.4	3.43	1.08	8.9	19.38	EFM192B	CVCL_1813
16304	AZD1775	MK-5108	50.89	3.57	2.98	0.63	8.46	18.65	EFM192B	CVCL_1813
16305	AZD1775	MK-8669	55.19	3.18	6.18	11.11	13.97	11.11	EFM192B	CVCL_1813
16306	AZD1775	MK-8669	59.7	4.02	3.09	8.01	10.88	15.62	EFM192B	CVCL_1813
16307	AZD1775	MK-8669	59.02	8.08	7.53	12.45	15.32	14.94	EFM192B	CVCL_1813
16308	AZD1775	MK-8669	58.8	7.67	7.44	12.37	15.23	14.71	EFM192B	CVCL_1813
16309	AZD1775	MK-8776	78.22	18.45	18.38	7.82	25.8	23.46	EFM192B	CVCL_1813
16310	AZD1775	MK-8776	75.59	22.49	22.51	11.95	29.93	20.82	EFM192B	CVCL_1813
16311	AZD1775	MK-8776	78.29	19.58	19.33	8.77	26.75	23.52	EFM192B	CVCL_1813
16312	AZD1775	MK-8776	82	24.45	24.52	13.97	31.95	27.24	EFM192B	CVCL_1813
16313	AZD1775	OXALIPLATIN	60.23	1.59	1.56	1.57	7.27	1.17	EFM192B	CVCL_1813
16314	AZD1775	OXALIPLATIN	60.5	-2.57	-1.56	-1.55	4.15	1.44	EFM192B	CVCL_1813
16315	AZD1775	OXALIPLATIN	58.47	-2.26	-3.83	-3.82	1.88	-0.59	EFM192B	CVCL_1813
16316	AZD1775	OXALIPLATIN	56.81	-3.87	-5.79	-5.78	-0.09	-2.25	EFM192B	CVCL_1813
16317	AZD1775	PD325901	29	-2.72	-3.27	-6	-2.99	10.62	EFM192B	CVCL_1813
16318	AZD1775	PD325901	38.2	1.94	5.44	2.72	5.73	19.81	EFM192B	CVCL_1813
16319	AZD1775	PD325901	39.06	2.18	5.58	2.85	5.86	20.68	EFM192B	CVCL_1813
16320	AZD1775	PD325901	38.03	2.13	2.06	-0.66	2.34	19.64	EFM192B	CVCL_1813
16321	AZD1775	SN-38	63.64	0.7	3.54	3.53	9.58	31.47	EFM192B	CVCL_1813
16322	AZD1775	SN-38	57.91	-0.49	-3.61	-3.62	2.42	25.74	EFM192B	CVCL_1813
16323	AZD1775	SN-38	59.25	-2.75	1.5	1.49	7.53	27.08	EFM192B	CVCL_1813
16324	AZD1775	SN-38	50.37	-4.05	-4.63	-4.64	1.4	18.2	EFM192B	CVCL_1813
16325	AZD1775	SORAFENIB	52.78	2.15	4.28	-0.39	8.4	6.95	EFM192B	CVCL_1813
16326	AZD1775	SORAFENIB	54.16	2.62	3.96	-0.71	8.08	8.33	EFM192B	CVCL_1813
16327	AZD1775	SORAFENIB	49.57	-1.28	-2.71	-7.38	1.41	3.74	EFM192B	CVCL_1813
16328	AZD1775	SORAFENIB	47.79	-0.37	0.23	-4.43	4.35	1.96	EFM192B	CVCL_1813
16329	AZD1775	TOPOTECAN	58.96	-0.2	-0.83	-0.33	4.68	-13.16	EFM192B	CVCL_1813
16330	AZD1775	TOPOTECAN	65.26	-3.7	-5.91	-5.4	-0.4	-6.86	EFM192B	CVCL_1813
16331	AZD1775	TOPOTECAN	67.93	-2.15	-2.71	-2.21	2.8	-4.19	EFM192B	CVCL_1813
16332	AZD1775	TOPOTECAN	63.74	-2.59	-1.49	-0.98	4.02	-8.38	EFM192B	CVCL_1813
16333	BEZ-235	DINACICLIB	72.51	2.06	1.18	-0.4	4.5	-6.99	EFM192B	CVCL_1813
16334	BEZ-235	DINACICLIB	73.61	4.43	5.03	3.45	8.34	-5.89	EFM192B	CVCL_1813
16335	BEZ-235	DINACICLIB	76.08	5.7	6.64	5.06	9.95	-3.43	EFM192B	CVCL_1813
16336	BEZ-235	DINACICLIB	76.46	5.68	6.81	5.23	10.12	-3.04	EFM192B	CVCL_1813
16337	BEZ-235	MK-8776	56.56	-1.74	-2.66	-13.09	4.28	-25.35	EFM192B	CVCL_1813
16338	BEZ-235	MK-8776	62.8	-1.38	-2.6	-13.04	4.34	-19.11	EFM192B	CVCL_1813
16339	BEZ-235	MK-8776	57.79	-0.65	-0.57	-11	6.37	-24.12	EFM192B	CVCL_1813
16340	BEZ-235	MK-8776	66.66	2.58	2.69	-7.74	9.63	-15.24	EFM192B	CVCL_1813
16341	BEZ-235	OXALIPLATIN	67.7	1.43	1.07	2.03	7.43	-18.5	EFM192B	CVCL_1813
16342	BEZ-235	OXALIPLATIN	67.99	0.65	0.34	1.31	6.7	-18.22	EFM192B	CVCL_1813
16343	BEZ-235	OXALIPLATIN	70.28	0.49	-0.24	0.73	6.12	-15.92	EFM192B	CVCL_1813
16344	BEZ-235	OXALIPLATIN	70.19	0.96	-0.02	0.94	6.34	-16.01	EFM192B	CVCL_1813
16345	BEZ-235	SN-38	64.87	3.46	3.07	2.99	7.69	5.56	EFM192B	CVCL_1813
16346	BEZ-235	SN-38	72.19	4.29	4.73	4.66	9.36	12.88	EFM192B	CVCL_1813
16347	BEZ-235	SN-38	64.21	1.09	1.58	1.51	6.21	4.9	EFM192B	CVCL_1813
16348	BEZ-235	SN-38	67.4	7.15	7.02	6.94	11.64	8.09	EFM192B	CVCL_1813
16349	BEZ-235	SORAFENIB	62.97	0.29	-1.28	-4.01	3.28	-10	EFM192B	CVCL_1813
16350	BEZ-235	SORAFENIB	55.6	-2.87	-2.19	-4.92	2.37	-17.37	EFM192B	CVCL_1813
16351	BEZ-235	SORAFENIB	66.94	3.56	3.89	1.16	8.45	-6.04	EFM192B	CVCL_1813
16352	BEZ-235	SORAFENIB	63.49	1.71	2.12	-0.61	6.68	-9.49	EFM192B	CVCL_1813
16353	BORTEZOMIB	ABT-888	28.43	4.05	2.34	-48.37	1.29	-3.76	EFM192B	CVCL_1813
16354	BORTEZOMIB	ABT-888	33.31	2.54	-0.92	-51.64	-1.98	1.12	EFM192B	CVCL_1813
16355	BORTEZOMIB	ABT-888	43.18	4.39	5.17	-45.54	4.12	10.98	EFM192B	CVCL_1813
16356	BORTEZOMIB	ABT-888	45.67	7.39	7.3	-43.42	6.24	13.48	EFM192B	CVCL_1813
16357	BORTEZOMIB	BEZ-235	64.91	1.31	0.5	1.4	4.96	-14.77	EFM192B	CVCL_1813
16358	BORTEZOMIB	BEZ-235	63.53	1.53	-0.12	0.79	4.35	-16.15	EFM192B	CVCL_1813
16359	BORTEZOMIB	BEZ-235	71.17	3.37	3.07	3.97	7.54	-8.51	EFM192B	CVCL_1813
16360	BORTEZOMIB	BEZ-235	71.28	4.43	4.98	5.88	9.45	-8.4	EFM192B	CVCL_1813
16361	BORTEZOMIB	DASATINIB	32.89	-2.56	0.89	-4.44	3.05	-13.4	EFM192B	CVCL_1813
16362	BORTEZOMIB	DASATINIB	44.49	2.17	4.59	-0.75	6.75	-1.8	EFM192B	CVCL_1813
16363	BORTEZOMIB	DASATINIB	38.9	-1.46	-1.81	-7.15	0.35	-7.39	EFM192B	CVCL_1813
16364	BORTEZOMIB	DASATINIB	33.37	-2.99	-0.23	-5.57	1.93	-12.92	EFM192B	CVCL_1813
16365	BORTEZOMIB	DINACICLIB	68.66	0.57	0.17	-2.5	2.44	1.13	EFM192B	CVCL_1813
16366	BORTEZOMIB	DINACICLIB	54.03	-0.2	-1.23	-3.91	1.04	-13.5	EFM192B	CVCL_1813
16367	BORTEZOMIB	DINACICLIB	64.73	1.28	-0.06	-2.74	2.21	-2.8	EFM192B	CVCL_1813
16368	BORTEZOMIB	DINACICLIB	54.72	-0.01	-1.39	-4.07	0.88	-12.81	EFM192B	CVCL_1813
16369	BORTEZOMIB	GELDANAMYCIN	54.12	-3.68	-5.25	-8.84	-0.22	-16.79	EFM192B	CVCL_1813
16370	BORTEZOMIB	GELDANAMYCIN	49.54	-3.62	-5.35	-8.94	-0.32	-21.37	EFM192B	CVCL_1813
16371	BORTEZOMIB	GELDANAMYCIN	60.81	-0.23	-1.42	-5.01	3.6	-10.11	EFM192B	CVCL_1813
16372	BORTEZOMIB	GELDANAMYCIN	56.44	-0.24	-0.56	-4.15	4.47	-14.48	EFM192B	CVCL_1813
16373	BORTEZOMIB	MK-8669	53.17	0.95	-1.21	-0.94	2.72	-6.09	EFM192B	CVCL_1813
16374	BORTEZOMIB	MK-8669	46.21	2.18	2.79	3.06	6.71	-13.05	EFM192B	CVCL_1813
16375	BORTEZOMIB	MK-8669	50.51	3.45	3.59	3.86	7.52	-8.74	EFM192B	CVCL_1813
16376	BORTEZOMIB	MK-8669	51.46	1.45	0.92	1.19	4.85	-7.8	EFM192B	CVCL_1813
16377	BORTEZOMIB	MK-8776	51.66	-0.57	-1.19	-14.02	3.55	-18.27	EFM192B	CVCL_1813
16378	BORTEZOMIB	MK-8776	50.05	-2.62	-3.35	-16.18	1.39	-19.88	EFM192B	CVCL_1813
16379	BORTEZOMIB	MK-8776	47.8	-2.74	-4.47	-17.3	0.27	-22.13	EFM192B	CVCL_1813
16380	BORTEZOMIB	MK-8776	48.45	-3.45	-4.74	-17.57	0	-21.48	EFM192B	CVCL_1813
16381	BORTEZOMIB	OXALIPLATIN	60.71	-0.46	-1.41	-1.76	3.01	-13.52	EFM192B	CVCL_1813
16382	BORTEZOMIB	OXALIPLATIN	56.76	-1.07	-2.27	-2.62	2.14	-17.46	EFM192B	CVCL_1813
16383	BORTEZOMIB	OXALIPLATIN	62.57	0.69	0.41	0.06	4.82	-11.66	EFM192B	CVCL_1813
16384	BORTEZOMIB	OXALIPLATIN	63.12	1.75	0.95	0.6	5.37	-11.11	EFM192B	CVCL_1813
16385	BORTEZOMIB	SN-38	56.74	1.81	1.03	-0.73	3.99	9.4	EFM192B	CVCL_1813
16386	BORTEZOMIB	SN-38	55	1.19	1.41	-0.36	4.37	7.66	EFM192B	CVCL_1813
16387	BORTEZOMIB	SN-38	49.56	-0.38	-1.64	-3.4	1.32	2.22	EFM192B	CVCL_1813
16388	BORTEZOMIB	SN-38	50.32	-0.78	-2.06	-3.83	0.9	2.98	EFM192B	CVCL_1813
